"Yr","Fuelling_slope_males","Fuelling_slope_females","Fuelling_slope_males_predicted","Fuelling_slope_females_predicted"
1996,5.41906751466717,6.33520841907702,5.6751610563371,6.54906313342914
1997,6.06014812421813,6.26787324421613,5.87868257581662,6.79761573418693
1998,6.11332942495467,6.81622305746699,6.09257529694241,7.05991781449866
1999,5.1988197820385,5.76051124574843,5.48283424914668,6.31510058000257
2000,4.19102734315182,4.89761403987006,4.94241635828409,5.66242360773547
2001,3.97221714459538,4.58958673801672,4.56471713662552,5.21036591849751
2002,4.24300492787132,4.96863101490809,4.77960733554942,5.46715125587935
2003,6.67516466063279,7.26300106633637,6.00919861866734,6.957538369746
2004,5.90489371106903,6.84536589035017,5.69734294783407,6.57610435372165
2005,4.64707322566803,4.88385245122537,5.24807370849666,6.03072003194657
2006,5.78727635904979,6.94915872800295,5.32500422867458,6.12376586325345
2007,6.34531168795489,8.27578451505752,6.67724866014615,7.78264081429657
2008,4.75172908851081,5.65448888094917,6.02058704679269,6.97151239068832
2009,5.23573870891255,5.28382552222666,3.96936253234986,4.504550481973
2010,4.94083574388926,5.84300616348398,4.79224711625166,5.48228901258616
2011,5.83319991023196,6.62417165964463,6.41653260793148,7.45932516066678
2012,6.20658547040031,7.19325325157813,6.01408574606744,6.96353466801862
2013,5.77479599712348,6.96249797171841,4.75672554262543,5.43975692413854
2014,5.68870986889484,6.70566412464771,5.51453479879377,6.35360259887755
2015,7.99658858926636,8.27097198887417,6.76474304702754,7.89152114694428
2016,6.41917859439968,7.0499165144676,6.38049296824539,7.41476435010654
